name	salary
Merzlikins, Elvis	$5,400,000
Tarasov, Daniil	$1,050,000
Seguin, Tyler	$9,850,000
Benn, Jamie	$9,500,000
Hintz, Roope	$8,450,000
Robertson, Jason	$7,750,000
Marchment, Mason	$4,500,000
Duchene, Matt	$3,000,000
Dadonov, Evgenii	$2,250,000
Steel, Sam	$1,200,000
Johnston, Wyatt	$894,167
Bourque, Mavrik	$894,167
Stankoven, Logan	$814,167
Back, Oskar	$775,000
Blackwell, Colin	$775,000
Heiskanen, Miro	$8,450,000
Lindell, Esa	$5,800,000
Harley, Thomas	$4,000,000
Dumba, Mathew	$3,750,000
Lyubushkin, Ilya	$3,250,000
Lundkvist, Nils	$1,250,000
Smith, Brendan	$1,000,000
Oettinger, Jake	$4,000,000
DeSmith, Casey	$1,000,000
Larkin, Dylan	$8,700,000
Raymond, Lucas	$8,075,000
DeBrincat, Alex	$7,875,000
Copp, Andrew	$5,625,000
Compher, J.T.	$5,100,000
Tarasenko, Vladimir	$4,750,000
Kane, Patrick	$4,000,000
Rasmussen, Michael	$3,200,000
Veleno, Joe	$2,275,000
Fischer, Christian	$1,125,000
Berggren, Jonatan	$825,000
Motte, Tyler	$800,000
Watson, Austin	$775,000
Gettinger, Tim	$775,000
Seider, Moritz	$8,550,000
Chiarot, Ben	$4,750,000
Maatta, Olli	$3,000,000
Petry, Jeff	$2,343,750
Gustafsson, Erik	$2,000,000
Buium, Shai	$925,000
Edvinsson, Simon	$894,167
Johansson, Albert	$775,000
Husso, Ville	$4,750,000
Talbot, Cam	$2,500,000
Lyon, Alex	$900,000
McDavid, Connor	$12,500,000
Draisaitl, Leon	$8,500,000
Hyman, Zach	$5,500,000
Nugent-Hopkins, Ryan	$5,125,000
Kane, Evander	$5,125,000
Arvidsson, Viktor	$4,000,000
Skinner, Jeff	$3,000,000
Henrique, Adam	$3,000,000
Janmark, Mattias	$1,450,000
Perry, Corey	$1,150,000
Brown, Connor	$1,000,000
